filename,id,content
D:\career\DTAS\OCR\code\OCR表格\19D_页面_03.jpg,name,"F11

"
D:\career\DTAS\OCR\code\OCR表格\19D_页面_03.jpg,part1,"Bauteil 1
Frontklappe (engine hood)

"
D:\career\DTAS\OCR\code\OCR表格\19D_页面_03.jpg,part2,"Bauteil 2
Scheinwerfer (headlight)

"
D:\career\DTAS\OCR\code\OCR表格\19D_页面_03.jpg,a1,"Fahrzeugtyp
VW331_4

"
D:\career\DTAS\OCR\code\OCR表格\19D_页面_03.jpg,a2,"Zeichnungs-Nr.
19D . 800 . 965

"
D:\career\DTAS\OCR\code\OCR表格\19D_页面_03.jpg,a4,"Blatt 003
von 069

"
D:\career\DTAS\OCR\code\OCR表格\19D_页面_03.jpg,a5,"Maszstab
5:1

"
D:\career\DTAS\OCR\code\OCR表格\19D_页面_03.jpg,a6,"X: -XXXX

"
D:\career\DTAS\OCR\code\OCR表格\19D_页面_03.jpg,a7,"Y: -xxxx

"
D:\career\DTAS\OCR\code\OCR表格\19D_页面_03.jpg,a3,"Stand
04.08.2016

"
D:\career\DTAS\OCR\code\OCR表格\19D_页面_03.jpg,a8,"z: -xxxx

"
D:\career\DTAS\OCR\code\OCR表格\19D_页面_03.jpg,,
D:\career\DTAS\OCR\code\OCR表格\19D_页面_03.jpg,b1,"Nennma

"
D:\career\DTAS\OCR\code\OCR表格\19D_页面_03.jpg,b2,"Obere
Toleranz

"
D:\career\DTAS\OCR\code\OCR表格\19D_页面_03.jpg,b3,"Untere
Toleranz

"
D:\career\DTAS\OCR\code\OCR表格\19D_页面_03.jpg,b4,"Paralleli-
taet

"
D:\career\DTAS\OCR\code\OCR表格\19D_页面_03.jpg,b5,"Symmetrie

"
D:\career\DTAS\OCR\code\OCR表格\19D_页面_03.jpg,c0,"Fuge

"
D:\career\DTAS\OCR\code\OCR表格\19D_页面_03.jpg,c1,"5.8

"
D:\career\DTAS\OCR\code\OCR表格\19D_页面_03.jpg,c2,"+0.6

"
D:\career\DTAS\OCR\code\OCR表格\19D_页面_03.jpg,c3,"-0.6

"
D:\career\DTAS\OCR\code\OCR表格\19D_页面_03.jpg,c4,"0.8

"
D:\career\DTAS\OCR\code\OCR表格\19D_页面_03.jpg,c5,"1.0

"
D:\career\DTAS\OCR\code\OCR表格\19D_页面_03.jpg,d0,"Buendigkeit

"
D:\career\DTAS\OCR\code\OCR表格\19D_页面_03.jpg,d1,"n.rel.

"
D:\career\DTAS\OCR\code\OCR表格\19D_页面_03.jpg,d2,"n.rel.

"
D:\career\DTAS\OCR\code\OCR表格\19D_页面_03.jpg,d3,"n.rel.

"
D:\career\DTAS\OCR\code\OCR表格\19D_页面_03.jpg,d4,"n.rel.

"
D:\career\DTAS\OCR\code\OCR表格\19D_页面_03.jpg,d5,"n.rel.

"
D:\career\DTAS\OCR\code\OCR表格\19D_页面_05.jpg,name,"F12a

"
D:\career\DTAS\OCR\code\OCR表格\19D_页面_05.jpg,part1,"Bauteil 1
Kotfluegel (fender)

"
D:\career\DTAS\OCR\code\OCR表格\19D_页面_05.jpg,part2,"Bauteil 2
Scheinwerfer (headlight)

"
D:\career\DTAS\OCR\code\OCR表格\19D_页面_05.jpg,a1,"Fahrzeugtyp
VW331_4

"
D:\career\DTAS\OCR\code\OCR表格\19D_页面_05.jpg,a2,"Zeichnungs-Nr‘.
19D . 800 . 965

"
D:\career\DTAS\OCR\code\OCR表格\19D_页面_05.jpg,a4,"Blatt 005
von 069

"
D:\career\DTAS\OCR\code\OCR表格\19D_页面_05.jpg,a5,"Maszstab
5:1

"
D:\career\DTAS\OCR\code\OCR表格\19D_页面_05.jpg,a6,"X: -XXXX

"
D:\career\DTAS\OCR\code\OCR表格\19D_页面_05.jpg,a7,"Y: -xxxx

"
D:\career\DTAS\OCR\code\OCR表格\19D_页面_05.jpg,a3,"Stand
04.08.2016

"
D:\career\DTAS\OCR\code\OCR表格\19D_页面_05.jpg,a8,"z: -xxxx

"
D:\career\DTAS\OCR\code\OCR表格\19D_页面_05.jpg,,
D:\career\DTAS\OCR\code\OCR表格\19D_页面_05.jpg,b1,"Nennma

"
D:\career\DTAS\OCR\code\OCR表格\19D_页面_05.jpg,b2,"Obere
Toleranz

"
D:\career\DTAS\OCR\code\OCR表格\19D_页面_05.jpg,b3,"Untere
Toleranz

"
D:\career\DTAS\OCR\code\OCR表格\19D_页面_05.jpg,b4,"Paralleli-
taet

"
D:\career\DTAS\OCR\code\OCR表格\19D_页面_05.jpg,b5,"Symmetrie

"
D:\career\DTAS\OCR\code\OCR表格\19D_页面_05.jpg,c0,"Fuge

"
D:\career\DTAS\OCR\code\OCR表格\19D_页面_05.jpg,c1,"2.0

"
D:\career\DTAS\OCR\code\OCR表格\19D_页面_05.jpg,c2,"+0.8

"
D:\career\DTAS\OCR\code\OCR表格\19D_页面_05.jpg,c3,"-0.8

"
D:\career\DTAS\OCR\code\OCR表格\19D_页面_05.jpg,c4,"*

"
D:\career\DTAS\OCR\code\OCR表格\19D_页面_05.jpg,c5,"*

"
D:\career\DTAS\OCR\code\OCR表格\19D_页面_05.jpg,d0,"Buendigkeit

"
D:\career\DTAS\OCR\code\OCR表格\19D_页面_05.jpg,d1,"0,1

"
D:\career\DTAS\OCR\code\OCR表格\19D_页面_05.jpg,d2,"*

"
D:\career\DTAS\OCR\code\OCR表格\19D_页面_05.jpg,d3,"*

"
D:\career\DTAS\OCR\code\OCR表格\19D_页面_05.jpg,d4,"*

"
D:\career\DTAS\OCR\code\OCR表格\19D_页面_05.jpg,d5,"*

"
D:\career\DTAS\OCR\code\OCR表格\19D_页面_14.jpg,name,"F41_9

"
D:\career\DTAS\OCR\code\OCR表格\19D_页面_14.jpg,part1,"Bauteil 1
Frontklappe (engine hood)

"
D:\career\DTAS\OCR\code\OCR表格\19D_页面_14.jpg,part2,"Bauteil 2
Kotfluegel (fender)

"
D:\career\DTAS\OCR\code\OCR表格\19D_页面_14.jpg,a1,"Fahrzeugtyp
vw331_4

"
D:\career\DTAS\OCR\code\OCR表格\19D_页面_14.jpg,a2,"Zeichnungs-Nr.
190 . 800 . 965

"
D:\career\DTAS\OCR\code\OCR表格\19D_页面_14.jpg,a4,"Blatt 014
von 069

"
D:\career\DTAS\OCR\code\OCR表格\19D_页面_14.jpg,a5,"Maszstab
5:1

"
D:\career\DTAS\OCR\code\OCR表格\19D_页面_14.jpg,a6,"X: -XXXX

"
D:\career\DTAS\OCR\code\OCR表格\19D_页面_14.jpg,a7,"Y: -xxxx

"
D:\career\DTAS\OCR\code\OCR表格\19D_页面_14.jpg,a3,"Stand
04.08.2016

"
D:\career\DTAS\OCR\code\OCR表格\19D_页面_14.jpg,a8,"z: -xxxx

"
D:\career\DTAS\OCR\code\OCR表格\19D_页面_14.jpg,,
D:\career\DTAS\OCR\code\OCR表格\19D_页面_14.jpg,b1,"Nennma

"
D:\career\DTAS\OCR\code\OCR表格\19D_页面_14.jpg,b2,"Obere
Toleranz

"
